,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1,Samsung,GT-B2710,8806071114118,,,,,,
2,Samsung,GT-S3350,8806071464107,,,,,,
3,MaxCom,MM820,5908235972565,,,,,,
4,Emporia,SolidPlus,9005613115654,,,,,,
5,myPhone,1045 Simply+,5900495230461,,,,,,
6,myPhone,1045 Simply+,5900495222190,,,,,,
7,myPhone,1045 Simply+,5900495222206,,,,,,
8,myPhone,1082 Elegant,5900495222213,,,,,,
9,Alcatel,OT 815D,6958026815822,,,,,,
10,Nokia,105,6438158585133,,,,,,
11,Nokia,Lumia 520,6438158572720,,,,,,
12,Samsung,Galaxy S IV i9505,8806085594784,,,,,,
13,Alcatel,2005D,6958026890621,,,,,,
14,Alcatel,2005D,6958026831693,,,,,,
15,Alcatel,2005D,6958026831907,,,,,,
16,Alcatel,2010,6958026897828,,,,,,
17,Alcatel,2010,6958026897842,,,,,,
18,Nokia,106,6438158619999,,,,,,
19,Sony,Xperia Z1 C6903,7311271436041,,,,,,
20,Apple,iPhone 5s 32GB,885909781744,,,,,,
21,Apple,iPhone 5s 32GB,885909782253,,,,,,
22,Apple,iPhone 5s 32GB,885909781959,,,,,,
23,Apple,iPhone 5s 16GB,885909784462,,,,,,
24,Apple,iPhone 5s 16GB,885909784769,,,,,,
25,Apple,iPhone 5s 16GB,885909785063,,,,,,
26,Samsung,Galaxy Note 3 LTE,8806085827509,,,,,,
27,Samsung,Galaxy Note 3 LTE,8806085827516,,,,,,
28,Alcatel,One Touch Idol Alpha,4894461119915,,,,,,
29,Nokia,108,6438158620124,,,,,,
30,Nokia,108,6438158620155,,,,,,
31,Apple,iPhone 4S 8GB,885909833108,,,,,,
32,Apple,iPhone 4S 8GB,885909833696,,,,,,
33,Alcatel,1060,6958026831457,,,,,,
34,Nokia,Lumia 1320,6438158642447,,,,,,
35,Nokia,Lumia 1320,6438158642430,,,,,,
36,Kruger&Matz,Mist,5901890009539,,,,,,
37,Kruger&Matz,Move,5901436787433,,,,,,
38,Evolveo,StrongPhone Q4,8594161335511,,,,,,
39,Prestigio,MultiPhone 5500 DUO,8595248118607,,,,,,
40,Huawei,Honor 3C,6901443021451,,,,,,
41,Huawei,Honor 3C,6901443021444,,,,,,
42,Alcatel,One Touch Pop C5,4894461063485,,,,,,
43,Alcatel,One Touch Pop C3,4894461158358,,,,,,
44,Alcatel,One Touch Pop C3,4894461158327,,,,,,
45,Alcatel,One Touch 5036D,4894461063478,,,,,,
46,myPhone,One,5900495261212,,,,,,
47,myPhone,One,5900495255846,,,,,,
48,myPhone,One,5900495255853,,,,,,
49,myPhone,One,5900495275875,,,,,,
50,myPhone,Hammer,5900495264459,,,,,,
51,myPhone,Hammer,5900495255518,,,,,,
52,Sony,Xperia Z1 Compact,7311271457633,,,,,,
53,Sony,Xperia Z1 Compact,7311271457619,,,,,,
54,Sony,Xperia Z1 Compact,7311271460053,,,,,,
55,Asus,ZenFone 5,4712900985047,,,,,,
56,CAT,B15,5060280960444,,,,,,
57,CAT,B100,5060280961342,,,,,,
58,CAT,B25,5060280964329,,,,,,
59,CAT,B25,50602809643294,,,,,,
60,Samsung,Galaxy Grand Neo,8806086121750,,,,,,
61,Alcatel,One Touch Pop C9,4894461165448,,,,,,
62,Alcatel,One Touch Pop C9,4894461165479,,,,,,
63,Alcatel,One Touch Pop C7 Dual,4894461099293,,,,,,
64,Alcatel,One Touch Pop C7 Dual,4894461099309,,,,,,
65,HTC,Desire 310,4718487647583,,,,,,
66,Samsung,Galaxy Grand 2 LTE,8806086120883,,,,,,
67,Huawei,Ascend Y530,6920702798910,,,,,,
68,Samsung,GT-S5611,8806085942189,,,,,,
69,Samsung,GT-S5611,8806085942240,,,,,,
70,LG,G2 Mini,8806084951793,,,,,,
71,Samsung,Galaxy S5,8806086142922,,,,,,
72,Samsung,Galaxy S5,8806086184366,,,,,,
73,Samsung,Galaxy S5,8806086268509,,,,,,
74,Samsung,Galaxy S5,8806086157131,,,,,,
75,Sony,Xperia Z2,7311271506034,,,,,,
76,Sony,Xperia Z2,7311271506010,,,,,,
77,Sony,Xperia Z2,7311271506027,,,,,,
78,Nokia,220 Dual SIM,6438158651197,,,,,,
79,Nokia,220 Dual SIM,6438158651258,,,,,,
80,Nokia,220 Dual SIM,6438158651241,,,,,,
81,Nokia,220 Dual SIM,6438158651265,,,,,,
82,Sony,Xperia M2 LTE,7311271462002,,,,,,
83,HTC,Desire 610,4718487649549,,,,,,
84,LG,F70,8806084964342,,,,,,
85,Samsung,Galaxy S III mini VE,8806086083164,,,,,,
86,Samsung,Galaxy S III mini VE,8806086083201,,,,,,
87,Samsung,Galaxy S III mini VE,8806086084604,,,,,,
88,HTC,One M8,4718487646548,,,,,,
89,HTC,One M8,4718487646531,,,,,,
90,myPhone,Cube,5902052860814,,,,,,
91,Yota Devices,YotaPhone Next,4627080310513,,,,,,
92,Gigabyte,Rey R3,4712364758775,,,,,,
93,Wiko,Darkmoon,6943279404381,,,,,,
94,Wiko,Kar 3,6297000512525,,,,,,
95,Nokia,Lumia 630 Dual SIM,6438158658776,,,,,,
96,Nokia,Lumia 630 Dual SIM,6438158658424,,,,,,
97,Nokia,Lumia 930,6438158670624,,,,,,
98,Nokia,Lumia 930,6438158670617,,,,,,
99,Nokia,Lumia 930,6438158714151,,,,,,
100,Nokia,Lumia 930,6438158670600,,,,,,
101,Nokia,Lumia 930,6438158689312,,,,,,
102,Nokia,Lumia 930,6438158714144,,,,,,
103,Nokia,225 Dual SIM,6438158662032,,,,,,
104,Nokia,225 Dual SIM,6438158668386,,,,,,
